TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,22,31033,1137,1138,105641,10,10,119,119,1025,1.0,1.4792008774220533
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,27,34249,1411,1412,80711,11,11,122,122,1003,1.0,1.40434356050421
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,15,18391,821,822,137561,15,15,189,189,1009,1.0,1.4218032718213878
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,21,26574,1086,1087,139468,11,11,132,132,1024,1.0,1.4515447398192405
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,6,6819,368,369,41901,13,13,125,125,1017,1.0,1.4492490541423677
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,10,12623,571,572,80459,12,12,154,154,1000,1.0,1.5388348501887448
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,11,14468,611,612,57403,12,12,134,134,1029,1.0,1.4245883340621044
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,24,27975,1226,1227,177431,13,13,144,144,1028,1.0,1.4500005001468377
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,645,50,51,3297,2,2,10,10,1022,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,776,50,51,3467,2,2,6,6,1027,1.0,0.6931471805599453
